iter	Passed	Remaining
0	11	11733
1	22	11137
2	32	10934
3	43	10780
4	53	10667
5	63	10548
6	73	10472
7	84	10432
8	94	10358
9	103	10269
10	114	10320
11	125	10324
12	135	10263
13	146	10328
14	160	10541
15	171	10539
16	181	10495
17	191	10442
18	201	10386
19	211	10339
20	220	10267
21	229	10209
22	239	10157
23	249	10126
24	258	10075
25	267	10010
26	276	9974
27	285	9902
28	293	9814
29	301	9758
30	310	9704
31	319	9671
32	327	9610
33	336	9565
34	345	9528
35	353	9455
36	361	9418
37	371	9398
38	379	9346
39	386	9276
40	393	9213
41	401	9158
42	408	9098
43	417	9073
44	425	9029
45	433	8995
46	441	8954
47	448	8892
48	456	8857
49	464	8823
50	473	8818
51	481	8786
52	490	8757
53	499	8743
54	507	8720
55	513	8664
56	522	8649
57	529	8604
58	539	8599
59	548	8585
60	557	8575
61	563	8530
62	573	8526
63	580	8488
64	587	8447
65	594	8415
66	602	8386
67	609	8348
68	616	8311
69	624	8296
70	631	8256
71	639	8237
72	646	8204
73	653	8179
74	660	8149
75	667	8114
76	674	8083
77	683	8076
78	690	8045
79	696	8013
80	703	7986
81	711	7965
82	719	7944
83	727	7928
84	734	7907
85	741	7878
86	748	7850
87	755	7832
88	762	7804
89	770	7785
90	777	7763
91	784	7742
92	791	7717
93	799	7709
94	806	7686
95	813	7660
96	820	7638
97	827	7613
98	834	7594
99	841	7575
100	848	7552
101	855	7532
102	864	7529
103	871	7512
104	878	7491
105	886	7477
106	895	7474
107	903	7460
108	911	7453
109	918	7433
110	925	7414
111	933	7400
112	940	7381
113	947	7361
114	954	7346
115	961	7327
116	969	7313
117	975	7294
118	983	7279
119	990	7262
120	998	7251
121	1005	7237
122	1012	7218
123	1019	7204
124	1026	7186
125	1033	7169
126	1040	7151
127	1047	7134
128	1054	7117
129	1060	7099
130	1067	7083
131	1074	7067
132	1081	7050
133	1088	7033
134	1094	7015
135	1101	7000
136	1108	6982
137	1115	6966
138	1121	6949
139	1130	6944
140	1137	6928
141	1147	6933
142	1154	6919
143	1161	6906
144	1169	6897
145	1176	6883
146	1184	6872
147	1191	6856
148	1198	6846
149	1205	6833
150	1213	6823
151	1220	6809
152	1227	6795
153	1235	6784
154	1242	6770
155	1249	6761
